3e1957c8-bbab-11e8-b2ba-ac1f6b6435d0,25 2
56fbf3f2-bb9e-11e8-b2b9-ac1f6b6435d0,3 8
f7ea5f80-bbbf-11e8-b2bb-ac1f6b6435d0,22 4 21
eac7a5fe-bba3-11e8-b2b9-ac1f6b6435d0,19 0
17c7b5a6-bbc9-11e8-b2bc-ac1f6b6435d0,14
8ce12374-bba9-11e8-b2ba-ac1f6b6435d0,18
f2df3a80-bba9-11e8-b2ba-ac1f6b6435d0,13
6b328266-bbbf-11e8-b2ba-ac1f6b6435d0,11
fecf31b6-bbb7-11e8-b2ba-ac1f6b6435d0,18 0
1181fa02-bbc0-11e8-b2bb-ac1f6b6435d0,6
a28479fa-bb9b-11e8-b2b9-ac1f6b6435d0,22
a96cacc6-bb99-11e8-b2b9-ac1f6b6435d0,11
d3f44380-bbc3-11e8-b2bc-ac1f6b6435d0,5 0
6cdb9b06-bbc0-11e8-b2bb-ac1f6b6435d0,5
6c3bce14-bb9d-11e8-b2b9-ac1f6b6435d0,4
9b97ee90-bbc0-11e8-b2bb-ac1f6b6435d0,0
c73ad302-bbaf-11e8-b2ba-ac1f6b6435d0,25
3e87d26a-bb9d-11e8-b2b9-ac1f6b6435d0,0
eabc96a4-bbbd-11e8-b2ba-ac1f6b6435d0,23
22b96688-bba3-11e8-b2b9-ac1f6b6435d0,25 11 0
6f2ac22a-bbbf-11e8-b2bb-ac1f6b6435d0,6
739b0880-bbae-11e8-b2ba-ac1f6b6435d0,6
c4440d32-bba3-11e8-b2b9-ac1f6b6435d0,14 0
303dc0ac-bbbb-11e8-b2ba-ac1f6b6435d0,18
c0e0123c-bba1-11e8-b2b9-ac1f6b6435d0,12 0 21
e98fc512-bbb8-11e8-b2ba-ac1f6b6435d0,6 2
aca9d5c6-bb99-11e8-b2b9-ac1f6b6435d0,25 0 21
96ba2ade-bbbe-11e8-b2ba-ac1f6b6435d0,3
d43b84ca-bbc3-11e8-b2bc-ac1f6b6435d0,11
6e435a30-bbaa-11e8-b2ba-ac1f6b6435d0,25 0
30c6a612-bbaf-11e8-b2ba-ac1f6b6435d0,5 0
940cc122-bb99-11e8-b2b9-ac1f6b6435d0,25
21b58442-bba8-11e8-b2ba-ac1f6b6435d0,24
3bac40ee-bb9d-11e8-b2b9-ac1f6b6435d0,25 0
32913e30-bbaa-11e8-b2ba-ac1f6b6435d0,4
953d8bd8-bbbe-11e8-b2ba-ac1f6b6435d0,12 25
d78d0f22-bba5-11e8-b2ba-ac1f6b6435d0,6
ac857e3c-bbc2-11e8-b2bc-ac1f6b6435d0,12 25 21
4ad4bdc6-bbc0-11e8-b2bb-ac1f6b6435d0,1
0c587bc6-bba9-11e8-b2ba-ac1f6b6435d0,25 14 2
cb7bdf5a-bba1-11e8-b2b9-ac1f6b6435d0,7
f7e13070-bba8-11e8-b2ba-ac1f6b6435d0,5
a3ad22ac-bbb7-11e8-b2ba-ac1f6b6435d0,14 0
44dc05d4-bba0-11e8-b2b9-ac1f6b6435d0,11 0
45d5f5fe-bbbd-11e8-b2ba-ac1f6b6435d0,25 0
505a63a0-bbba-11e8-b2ba-ac1f6b6435d0,25 2
3d613ff8-bbc4-11e8-b2bc-ac1f6b6435d0,14
31551386-bbc1-11e8-b2bb-ac1f6b6435d0,25 3
f2a45608-bba0-11e8-b2b9-ac1f6b6435d0,5
17352134-bbae-11e8-b2ba-ac1f6b6435d0,14 0 21
6f340d2a-bbb1-11e8-b2ba-ac1f6b6435d0,25 21
a4674636-bbc2-11e8-b2bc-ac1f6b6435d0,25 7
fa11e9ac-bbad-11e8-b2ba-ac1f6b6435d0,22
c12802c4-bba4-11e8-b2ba-ac1f6b6435d0,25 0
e6fe4a2c-bbb2-11e8-b2ba-ac1f6b6435d0,1
225e4608-bbc7-11e8-b2bc-ac1f6b6435d0,25
fc0fd4ec-bbb4-11e8-b2ba-ac1f6b6435d0,23 0
8eea2a3e-bbaf-11e8-b2ba-ac1f6b6435d0,19 25
2600f354-bbaf-11e8-b2ba-ac1f6b6435d0,25
a462af16-bb9c-11e8-b2b9-ac1f6b6435d0,23
